"filename", "language", "Python", "Markdown", "Django Template", "Database", "JavaScript", "comment", "blank", "total"
"c:\Users\taylo\datashow_tcc\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 2, 4
"c:\Users\taylo\datashow_tcc\datashow_tcc\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\taylo\datashow_tcc\datashow_tcc\asgi.py", "Python", 4, 0, 0, 0, 0, 8, 5, 17
"c:\Users\taylo\datashow_tcc\datashow_tcc\settings.py", "Python", 81, 0, 0, 0, 0, 29, 35, 145
"c:\Users\taylo\datashow_tcc\datashow_tcc\urls.py", "Python", 8, 0, 0, 0, 0, 16, 3, 27
"c:\Users\taylo\datashow_tcc\datashow_tcc\wsgi.py", "Python", 4, 0, 0, 0, 0, 8, 5, 17
"c:\Users\taylo\datashow_tcc\db.sqlite3", "Database", 0, 0, 0, 232, 0, 0, 3, 235
"c:\Users\taylo\datashow_tcc\manage.py", "Python", 15, 0, 0, 0, 0, 3, 5, 23
"c:\Users\taylo\datashow_tcc\paginas\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\taylo\datashow_tcc\paginas\admin.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\taylo\datashow_tcc\paginas\apps.py", "Python", 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\taylo\datashow_tcc\paginas\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\taylo\datashow_tcc\paginas\models.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\taylo\datashow_tcc\paginas\templates\home.html", "Django Template", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\taylo\datashow_tcc\paginas\tests.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\taylo\datashow_tcc\paginas\urls.py", "Python", 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\taylo\datashow_tcc\paginas\views.py", "Python", 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\taylo\datashow_tcc\reservas\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\taylo\datashow_tcc\reservas\admin.py", "Python", 20, 0, 0, 0, 0, 1, 9, 30
"c:\Users\taylo\datashow_tcc\reservas\apps.py", "Python", 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\taylo\datashow_tcc\reservas\choices.py", "Python", 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\taylo\datashow_tcc\reservas\forms.py", "Python", 58, 0, 0, 0, 0, 0, 15, 73
"c:\Users\taylo\datashow_tcc\reservas\migrations\0001_initial.py", "Python", 48, 0, 0, 0, 0, 1, 7, 56
"c:\Users\taylo\datashow_tcc\reservas\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\taylo\datashow_tcc\reservas\models.py", "Python", 32, 0, 0, 0, 0, 0, 13, 45
"c:\Users\taylo\datashow_tcc\reservas\templates\form_agendar_create.html", "Django Template", 0, 0, 44, 0, 0, 0, 4, 48
"c:\Users\taylo\datashow_tcc\reservas\templates\form_agendar_update.html", "Django Template", 0, 0, 39, 0, 0, 0, 3, 42
"c:\Users\taylo\datashow_tcc\reservas\templates\form_reservar_create.html", "Django Template", 0, 0, 44, 0, 0, 0, 5, 49
"c:\Users\taylo\datashow_tcc\reservas\templates\form_reservar_delete.html", "Django Template", 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\taylo\datashow_tcc\reservas\templates\form_reservar_update.html", "Django Template", 0, 0, 40, 0, 0, 0, 3, 43
"c:\Users\taylo\datashow_tcc\reservas\templates\tabela_reservas.html", "Django Template", 0, 0, 66, 0, 0, 0, 2, 68
"c:\Users\taylo\datashow_tcc\reservas\tests.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\taylo\datashow_tcc\reservas\urls.py", "Python", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\taylo\datashow_tcc\reservas\views.py", "Python", 95, 0, 0, 0, 0, 0, 37, 132
"c:\Users\taylo\datashow_tcc\static\js\desabilitar_horarios_passados.js", "JavaScript", 0, 0, 0, 0, 73, 3, 3, 79
"c:\Users\taylo\datashow_tcc\static\js\jquery-3.6.3.min.js", "JavaScript", 0, 0, 0, 0, 1, 1, 1, 3
"c:\Users\taylo\datashow_tcc\static\js\jquery.mask.js", "JavaScript", 0, 0, 0, 0, 472, 60, 73, 605
"c:\Users\taylo\datashow_tcc\static\js\select_horarios_disponiveis.js", "JavaScript", 0, 0, 0, 0, 27, 3, 7, 37
"c:\Users\taylo\datashow_tcc\static\js\select_turmas_por_curso.js", "JavaScript", 0, 0, 0, 0, 30, 0, 5, 35
"c:\Users\taylo\datashow_tcc\templates\account\account_inactive.html", "Django Template", 0, 0, 7, 0, 0, 0, 5, 12
"c:\Users\taylo\datashow_tcc\templates\account\base.html", "Django Template", 0, 0, 41, 0, 0, 0, 3, 44
